# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
65801493,-17.0774,9.1436,45.5915
65898548,-17.1287,8.9390,46.3084
66000637,-16.3852,8.7874,46.3059
66101414,-16.4965,9.7975,46.2524
66199392,-16.4160,9.4798,46.0260
66300858,-16.1389,9.5273,46.3975
66400062,-16.4456,8.6510,45.9026
66500648,-16.2052,10.1468,45.5288
66600523,-16.1198,9.3147,45.8986
66700793,-16.0865,9.8288,45.9239
66799002,-16.2841,10.0094,46.0178
66900050,-16.0559,9.6170,45.7588
67000329,-16.4433,10.0712,46.4401
67100536,-15.9785,9.6151,45.8472
67200213,-15.9258,10.0677,45.7734
67299654,-15.8637,10.6343,46.0256
67399337,-16.0737,10.6219,45.8815
67500866,-16.1115,10.7213,45.9662
67600940,-15.6985,10.4699,45.8993
67701416,-15.9606,10.8685,46.1661
67801436,-15.8905,10.7621,46.0477
67899926,-15.9669,10.6667,46.1513
67999619,-15.8895,11.4954,46.0633
