# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2], imu_temp_c [degC]
# block-averaged from 798 Hz by 4 (inslib_decimate_dataset.py)
3715040257,0.013509298,-0.0118422056,0.00716291024,-0.0464383627,-0.177752481,-9.6919028,25.275
3715045271,0.0216148786,-0.00322969236,0.00742820335,0.099400936,-0.15860696,-9.51311904,25.35
3715050286,0.0205341345,0.00403711554,0.00742820335,0.200412582,-0.358438339,-9.49697454,25.35
3715055300,0.0205341348,0.00296055137,0.00742820335,0.136458459,-0.493653605,-9.69250062,25.275
3715060314,0.0132391124,0.00376797451,0.00928525431,0.160366544,-0.400319178,-9.68711922,25.225
3715065329,0.0113478111,0.00215312831,0.00875466862,0.0826652773,-0.240573724,-9.63928414,25.4
3715070343,0.0172919013,0.00215312842,0.00742820335,-0.139679878,-0.151427387,-9.56035615,25.3
3715075358,0.0210745071,0.00968907731,0.00875466862,-0.234714496,-0.168778015,-9.49398486,25.4
3715080372,0.0226956232,0.0121113469,0.00901996147,-0.269381215,-0.296813699,-9.52687166,25.45
3715085386,0.0172919018,0.00968907719,0.00901996147,-0.301059419,-0.280659665,-9.55198521,25.375
3715090401,0.0140496699,0.0150718985,0.00955054716,-0.259220274,-0.257924352,-9.75169632,25.4
3715095415,0.00702483541,0.0166867445,0.00955054702,-0.162392551,-0.140658028,-10.0632218,25.325
3715100429,0.0259378523,0.00995821824,0.00955054715,-0.285519165,-0.224419695,-10.2031397,25.35
3715105444,0.0289098979,0.0123804879,0.0127340618,-0.360231927,-0.337497939,-9.96097459,25.375
3715110458,0.0108074388,0.0153410401,0.0103464257,-0.336323839,-0.309377947,-10.0291398,25.375
3715115472,0.0124285549,0.00861251279,0.00848937577,-0.347082477,-0.0808282737,-10.1146445,25.3
3715120487,0.0253974807,0.0102273594,0.00955054716,-0.525197667,-0.306984764,-10.1176346,25.25
